iter	Passed	Remaining
0	2	273
1	4	238
2	6	219
3	8	196
4	10	192
5	12	196
6	14	187
7	15	180
8	17	173
9	18	168
10	19	160
11	20	153
12	21	145
13	22	140
14	23	135
15	24	130
16	26	127
17	26	122
18	27	118
19	28	114
20	29	109
21	29	105
22	30	102
23	31	98
24	31	95
25	32	92
26	33	89
27	33	86
28	34	83
29	34	81
30	35	79
31	36	77
32	36	74
33	37	72
34	37	70
35	38	68
36	39	67
37	40	65
38	41	64
39	41	62
40	42	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	45	51
47	46	50
48	47	49
49	47	47
50	48	46
51	49	45
52	49	44
53	50	42
54	50	41
55	51	40
56	51	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
