iter	Passed	Remaining
0	56	56779
1	158	79100
2	175	58327
3	176	44065
4	178	35429
5	194	32151
6	206	29266
7	210	26048
8	224	24696
9	237	23474
10	238	21418
11	244	20166
12	260	19741
13	262	18512
14	264	17356
15	276	16976
16	277	16029
17	278	15201
18	285	14754
19	286	14052
20	290	13520
21	291	12955
22	292	12423
23	301	12242
24	302	11791
25	313	11753
26	315	11364
27	317	11024
28	318	10677
29	319	10334
30	320	10019
31	321	9727
32	322	9459
33	323	9199
34	326	9002
35	328	8809
36	329	8588
37	330	8372
38	331	8165
39	332	7970
40	333	7790
41	334	7620
42	335	7464
43	336	7303
44	337	7153
45	337	7004
46	338	6861
47	339	6740
48	341	6626
49	342	6512
50	343	6392
51	358	6541
52	362	6481
53	363	6372
54	364	6267
55	365	6161
56	367	6085
57	369	5999
58	370	5901
59	371	5815
60	377	5806
61	378	5730
62	380	5652
63	382	5589
64	382	5507
65	383	5428
66	384	5355
67	385	5281
68	386	5213
69	387	5142
70	387	5073
71	388	5005
72	389	4945
73	390	4883
74	390	4822
75	391	4763
76	392	4703
77	392	4644
78	397	4633
79	398	4586
80	399	4536
81	400	4482
82	401	4430
83	406	4432
84	407	4384
85	408	4339
86	413	4334
87	413	4288
88	422	4329
89	425	4300
90	426	4261
91	428	4229
92	438	4280
93	442	4261
94	444	4230
95	450	4238
96	452	4211
97	458	4216
98	471	4289
99	477	4293
100	486	4333
101	488	4303
102	500	4354
103	522	4497
104	534	4555
105	547	4617
106	549	4584
107	550	4550
108	558	4569
109	563	4560
110	566	4535
111	568	4503
112	577	4529
113	579	4500
114	582	4482
115	589	4491
116	590	4459
117	592	4425
118	595	4408
119	597	4382
120	605	4399
121	606	4365
122	609	4347
123	610	4316
124	612	4284
125	613	4254
126	617	4245
127	618	4216
128	620	4189
129	626	4190
130	627	4165
131	632	4160
132	634	4134
133	636	4110
134	637	4081
135	638	4056
136	640	4033
137	642	4010
138	643	3986
139	651	4004
140	653	3981
141	654	3953
142	655	3929
143	656	3904
144	658	3883
145	662	3877
146	664	3858
147	668	3848
148	679	3882
149	681	3862
150	683	3840
151	684	3820
152	686	3799
153	687	3777
154	692	3772
155	693	3752
156	695	3732
157	699	3725
158	700	3704
159	702	3687
160	703	3666
161	710	3676
162	715	3674
163	724	3693
164	728	3686
165	729	3666
166	731	3649
167	733	3631
168	738	3631
169	740	3615
170	741	3594
171	742	3574
172	743	3552
173	744	3532
174	745	3512
175	746	3492
176	747	3473
177	748	3455
178	751	3448
179	753	3432
180	754	3415
181	755	3396
182	756	3378
183	757	3360
184	758	3341
185	759	3323
186	760	3305
187	761	3288
188	763	3274
189	767	3272
190	768	3256
191	769	3239
192	770	3222
193	771	3206
194	772	3189
195	773	3173
196	774	3157
